,user_id,search_query,category,clicked_products,timestamp
0,b690edde-8eda-4c95-8def-6602f5992a40,tablet,Electronics,0,2025-06-09T21:32:55
1,b690edde-8eda-4c95-8def-6602f5992a40,tablet,Electronics,2,2025-06-09T10:15:48
2,b690edde-8eda-4c95-8def-6602f5992a40,gaming console,Electronics,0,2025-06-09T14:27:52
3,b690edde-8eda-4c95-8def-6602f5992a40,laptop,Electronics,1,2025-06-08T23:22:15
4,b690edde-8eda-4c95-8def-6602f5992a40,camera,Electronics,3,2025-06-09T17:14:52
5,b690edde-8eda-4c95-8def-6602f5992a40,laptop,Electronics,2,2025-06-09T01:12:37
6,b690edde-8eda-4c95-8def-6602f5992a40,camera,Electronics,0,2025-06-09T12:08:48
7,b690edde-8eda-4c95-8def-6602f5992a40,tablet,Electronics,1,2025-06-09T13:15:42
8,b690edde-8eda-4c95-8def-6602f5992a40,bluetooth speaker,Electronics,3,2025-06-09T13:20:27
9,b690edde-8eda-4c95-8def-6602f5992a40,gaming console,Electronics,0,2025-06-08T22:13:50
10,b690edde-8eda-4c95-8def-6602f5992a40,laptop,Electronics,1,2025-06-09T15:45:22
11,b690edde-8eda-4c95-8def-6602f5992a40,camera,Electronics,1,2025-06-09T20:53:22
12,b690edde-8eda-4c95-8def-6602f5992a40,smartphone,Electronics,1,2025-06-09T02:39:48
13,b690edde-8eda-4c95-8def-6602f5992a40,tablet,Electronics,1,2025-06-09T07:55:29
14,b690edde-8eda-4c95-8def-6602f5992a40,gaming console,Electronics,2,2025-06-08T22:21:34
15,b690edde-8eda-4c95-8def-6602f5992a40,gaming console,Electronics,2,2025-06-09T18:58:29
16,b690edde-8eda-4c95-8def-6602f5992a40,camera,Electronics,2,2025-06-09T00:13:36
17,b690edde-8eda-4c95-8def-6602f5992a40,camera,Electronics,2,2025-06-09T12:06:46
18,b690edde-8eda-4c95-8def-6602f5992a40,bluetooth speaker,Electronics,2,2025-06-09T01:53:27
19,b690edde-8eda-4c95-8def-6602f5992a40,smartphone,Electronics,3,2025-06-09T21:16:47
20,b690edde-8eda-4c95-8def-6602f5992a40,smart watch,Electronics,3,2025-06-09T17:46:52
21,38a26a5a-4944-44f2-bdb1-feb46255fc05,home decor,Home & Kitchen,0,2025-06-09T18:02:43
22,38a26a5a-4944-44f2-bdb1-feb46255fc05,bedding set,Home & Kitchen,3,2025-06-09T11:37:43
23,38a26a5a-4944-44f2-bdb1-feb46255fc05,home decor,Home & Kitchen,0,2025-06-09T20:48:59
24,38a26a5a-4944-44f2-bdb1-feb46255fc05,bedding set,Home & Kitchen,1,2025-06-08T22:58:27
25,38a26a5a-4944-44f2-bdb1-feb46255fc05,storage solutions,Home & Kitchen,3,2025-06-09T07:03:52
26,38a26a5a-4944-44f2-bdb1-feb46255fc05,bedding set,Home & Kitchen,0,2025-06-09T16:26:31
27,38a26a5a-4944-44f2-bdb1-feb46255fc05,kitchen utensils,Home & Kitchen,1,2025-06-09T21:21:20
28,38a26a5a-4944-44f2-bdb1-feb46255fc05,dinnerware,Home & Kitchen,2,2025-06-09T09:46:03
29,38a26a5a-4944-44f2-bdb1-feb46255fc05,storage solutions,Home & Kitchen,2,2025-06-09T14:44:00
30,38a26a5a-4944-44f2-bdb1-feb46255fc05,cookware set,Home & Kitchen,2,2025-06-09T16:56:33
31,38a26a5a-4944-44f2-bdb1-feb46255fc05,kitchen utensils,Home & Kitchen,3,2025-06-09T15:07:29
32,38a26a5a-4944-44f2-bdb1-feb46255fc05,toaster,Home & Kitchen,2,2025-06-09T20:10:49
